batter_id,pitcher_id,ab,h,hr,rbi,k,bb,avg,ops
608701,672282,3,1,0,0,1,4,.333,1.047
608701,543037,6,0,0,0,2,0,.000,.000
608701,664285,12,4,0,2,1,2,.333,.762
608701,669467,5,2,0,0,0,1,.400,.900
608701,650633,1,0,0,0,1,0,.000,.000
608701,656605,3,0,0,0,1,0,.000,.000
645302,663372,2,1,0,1,0,0,.500,1.000
608701,608379,3,1,0,0,2,0,.333,.666
645302,673540,2,0,0,0,2,0,.000,.000
645302,672282,3,1,0,0,0,0,.333,.666
645302,663436,2,1,0,0,0,0,.500,1.000
645302,666200,3,2,0,0,0,1,.667,1.417
645302,678022,1,0,0,0,0,0,.000,.000
645302,686613,5,3,0,0,0,1,.600,1.314
645302,518876,6,0,0,0,2,0,.000,.000
645302,650633,3,1,1,2,1,1,.333,1.933
645302,543037,2,0,0,0,2,0,.000,.000
645302,664285,11,3,0,1,3,1,.273,.581
645302,677958,1,1,0,0,0,0,1.000,2.000
645302,665795,2,1,0,0,0,0,.500,1.000
645302,605288,3,2,0,0,0,1,.667,1.417
645302,656605,2,1,0,0,0,1,.500,1.167
645302,663969,2,2,1,1,0,0,1.000,3.500
695257,669467,2,0,0,0,0,0,.000,.000
645302,656876,2,0,0,0,0,0,.000,.000
645302,608379,5,1,0,1,1,0,.200,.800
695257,663903,2,1,0,0,1,0,.500,1.000
695257,656492,2,1,0,0,0,0,.500,1.000
695257,608379,2,0,0,0,2,0,.000,.000
664040,805673,3,1,0,1,1,0,.333,.666
664040,666200,5,2,1,5,3,0,.400,1.600
664040,650633,12,2,1,1,5,1,.167,.703
664040,663372,4,2,1,2,2,1,.500,1.850
664040,680736,3,1,1,2,1,1,.333,1.833
664040,656550,1,1,0,0,0,0,1.000,2.000
664040,672282,5,1,0,0,0,1,.200,.533
664040,665795,8,1,0,0,3,4,.125,.542
664040,673540,2,1,0,0,1,1,.500,1.667
664040,518876,5,2,1,2,1,1,.400,1.500
664040,686613,11,1,1,1,4,1,.091,.531
664040,543037,33,7,1,2,11,3,.212,.581
664040,677958,5,3,1,2,0,0,.600,2.000
664040,663969,2,0,0,0,1,0,.000,.000
664040,669302,7,2,0,0,3,2,.286,.873
664040,669467,4,2,0,1,1,0,.500,1.250
664040,663903,16,0,0,0,4,3,.000,.200
668804,663372,9,3,1,1,2,0,.333,1.222
664040,656605,3,1,0,2,1,0,.333,1.000
664040,656876,2,0,0,0,0,0,.000,.000
664040,605288,2,1,0,0,1,0,.500,1.000
664040,677944,3,1,1,2,0,0,.333,1.666
664040,656492,3,0,0,0,2,0,.000,.000
664040,608379,13,2,0,1,4,0,.154,.368
668804,686613,2,1,0,0,0,1,.500,1.167
668804,666200,2,1,1,2,1,0,.500,2.500
668804,680736,4,1,0,0,1,0,.250,.500
668804,673540,5,0,0,0,2,1,.000,.167
668804,805673,1,0,0,0,1,1,.000,.667
668804,650633,7,3,0,1,2,2,.429,.985
668804,688107,3,1,0,0,0,0,.333,.666
668804,672282,4,2,0,1,2,0,.500,1.000
668804,677944,1,1,1,2,0,0,1.000,5.000
668804,669467,26,4,2,4,7,0,.154,.616
668804,664285,8,0,0,0,4,1,.000,.111
668804,677958,5,0,0,0,1,1,.000,.167
668804,801139,3,1,0,0,2,0,.333,.666
668804,663969,4,1,0,0,1,1,.250,.650
668804,518876,12,0,0,0,3,0,.000,.000
